title;artist;album;isFound
"NEW DORP. NEW YORK";"SBTRKT, Ezra Koenig";"Young Turks 2014";1
"U KNOW ME";COBRAH;"U KNOW ME";1
"Figure 8";"FKA twigs";M3LL155X;1
"Jet Black";"Channel Tres";"Jet Black";1
"XTC IV";X-COAST;XTC;1
"New York 93 - Baba Stiltz Remix";"Yaeji, Baba Stiltz";"Remixes, Vol. 1";1
Nasty;Shygirl;Nasty;1
"1999 - EASYFUN Remix";"Charli XCX, Troye Sivan, EASYFUN";"1999 (Remixes)";1
"Automatic - LA Priest Remix";"Erol Alkan, LA Priest";"Automatic (LA Priest Remix)";1
"Get Innocuous!";"LCD Soundsystem";"Sound of Silver";1
"I Know You Want To";"DJ BORING";"Different Dates";1
"Waited So Long";"Machine Girl";"RePorpoised Phantasies";1
Violence;"Grimes, i_o";Violence;1
Surgeon;"St. Vincent";"Strange Mercy";1
Chanel;"Frank Ocean";Chanel;1
Wolves;"Kanye West";"The Life Of Pablo";1
"Thug Tears";JPEGMAFIA;Veteran;1
X22RME;Actress;AZD;1
"Show Me What";"A. G. Cook, Cecile Believe";7G;1
"Just a Lover";"Hayden James";"Just a Lover";1
"Another Thing - LH Remix";"HOMESHAKE, Laurel Halo";"Helium Remixes";1
"Good Time Girl";"Sofi Tukker, Charlie Barker";Treehouse;1
"Consideration - Recorded At Spotify Studios NYC";"St. Vincent";"Spotify Singles";0
"Lately - Gerd Janson & Shan Remix";"Metronomy, Gerd Janson, Shan";"Metronomy Forever (Remixes)";1
"CC (feat. Shygirl)";"Sega Bodega, Shygirl";"CC (feat. Shygirl)";1
Cool;"drip-133, cat soup";StillTech;0
WTP;"Teyana Taylor, Mykki Blanco";K.T.S.E.;1
"When I Rule the World";LIZ;"When I Rule the World";1
"Don't Matter";"Cherokee, Darianna Everett";"Don't Matter";1
"R.I.P. SCREW";"Travis Scott";ASTROWORLD;1
Intrasport;"King Gizzard & The Lizard Wizard";K.G.;1
"Only Human - Radio Edit";"KH, Four Tet";"Only Human";1
Requiem;"Sega Bodega, Shygirl";"SS (2017)";1
4EVA;"Lapalux, Talvi";Ruinism;1
"Opps (with Yugen Blakrok)";"Vince Staples, Yugen Blakrok";"Black Panther The Album Music From And Inspired By";1
"BITE ME";"Kilo Kish";"BITE ME";1
"Set It Off";xxyyxx;Xxyyxx;0
"Yeahhh - Original Mix";"The Whiteliner";Yeahhh;1
"Morker - Original Mix";Amin;"The Path Toward Darkness";1
Lovalot;M.I.A.;"MAYA (Deluxe)";1
NC-17;HEALTH;"VOL. 4 :: SLAVES OF FEAR";1
"Cum (feat. Iggy Azalea)";"Brooke Candy, Iggy Azalea";SEXORCISM;1
"A6 454";"Pleasurekraft, Beico & MT93";"Pleasurekraft presents: Binaries";1
"So Will Be Now... feat. Pional";"John Talabot, Pional";"Fin - Special Edition";1
"More Than This";"Roxy Music";Avalon;1
"Limit To Your Love";"James Blake";"James Blake";1
Sun;Caribou;Swim;1
"The Ghost and the Host";"Moon Diagrams";"Lifetime of Love";1
"Hot Hands";Darius;Romance;1
"WHEN I GROW UP";Yaeji;"WHAT WE DREW 우리가 그려왔던";1
Marijuana;"Chrome Sparks";"Sparks EP";1
"Scorpio on Your Side";Sneaks;"Happy Birthday";1
Robert;"Jockstrap, Injury Reserve";Robert;1
Sugarboy;"St. Vincent";MASSEDUCTION;1
"Lilac Wine";"Jeff Buckley";"Grace (Legacy Edition)";1
Adios;"Benjamin Clementine";"At Least For Now";1
"Magical Dream";"808 State";"Utd. State 90";1
"Golden Brown";"The Stranglers";"La Folie";1
"Beauts - Junglist Remix";Shygirl;Beauts;1
"Garden Shed (feat. Estelle)";"Tyler, The Creator, Estelle";"Flower Boy";1
"Burn the Witch";Radiohead;"A Moon Shaped Pool";1
Changes;Mala;"Forgive / Changes";1
"Whispering Your Name - Live for Burberry";"Alison Moyet";"Live for Burberry";1
"Saint Laurent Mask";"Huncho Jack, Travis Scott, Quavo";"Huncho Jack, Jack Huncho";1
"If I Were To Lie";"Bear In Heaven";"Time Is Over One Day Old";1
"High Fashion";"Travis Scott, Future";"We Run This, Vol. 13 (Mixed by Mr. E)";1
"Taste Of Honey";"The Chemical Brothers";"Born In The Echoes";1
Windowlicker;"Aphex Twin";Windowlicker;1
Fogs;Kingdom;"That Mystic EP";1
"33 “GOD”";"Bon Iver";"22, A Million";1
Odessa;Caribou;Swim;1
"Free Hifi Internet";EMMANUELLE;EMMANUELLE;1
"Time for Us";"Nicolas Jaar";"Time for Us";1
Us;Haring;Nowadays;1
"You Disco I Freak";"Death In Vegas";Transmission;1
"Mask Maker";Liars;Mess;1
"Flip U";"COUCOU CHLOE, Sega Bodega";"Erika Jane";1
"Don't Take This Shit So Serious - Original Mix";"youANDme, Brothers' Vibe";"Dont Take This Shit So Serious";1
Genesis;Justice;Cross;1
"Glamour Profession";"Steely Dan";Gaucho;1
"Let It Happen";"Tame Impala";Currents;1
Vtown;Modd;"Magic Footsteps";1
"Look Demure";Kitty;"Rose Gold";1
Glass;Round;"Glass / Float";1
"The Way Back";Solomun;"Black Label #36";1
Finder;Moderat;"III (Deluxe Edition)";1
"CARONTE - Radio Slave Remix";"Apparat, Radio Slave";"CARONTE (Radio Slave Remixes)";1
"Under The Sun";"Mark Pritchard";"Under The Sun";1
"Prototype - Rework";"Viktoria Modesta";Counterflow;1
"The Feeling When You Walk Away";"Yves Tumor";"Serpent Music";0
Closeness;Eyeliner;"High Fashion Mood Music";1
"Greaze - Machine Girl Mix";"Machine Girl";"RePorpoised Phantasies";1
Gosh;"Jamie xx";"In Colour";1
Giant;"The The";"Soul Mining";1
Honey;"Death In Vegas, Sasha Grey";Honey;1
"No Chill";"VIC MENSA, Skrillex";"No Chill";1
"Feel It Still - Medasin Remix";"Portugal. The Man, Medasin";"Feel It Still (Medasin Remix)";1
Masterplanned;Soulwax;"FROM DEEWEE";1
"House Of Jealous Lovers";"The Rapture";Echoes;1
"Veridis Quo";"Daft Punk";Discovery;1
"Wordy Rappinghood";"Tom Tom Club";"Wordy Rappinghood";1
Euphoria;"Coco Bryce";"Seki Setsu";1
Anxi.;"Kelly Lee Owens";Anxi.;1
"White Ferrari";"Frank Ocean";Blonde;1
"Personal Jesus";"Marilyn Manson";"Lest We Forget (The Best Of) [International Version (Explicit)]";1
"Spacer Woman - Vocal";Charlie;"Spacer woman (12 Inc, Mr. Disco)";1
"I FINK YOU FREEKY - God's Death Trap Remix";"Die Antwoord, God";"SUCK ON THIS (MIXTAPE)";1
MSMSMSM;SOPHIE;MSMSMSM;1
"Yr Body is Nothing";"Boy Harsher";"Yr Body is Nothing";1
"I Think I Like It";"Fake Blood";"I Think I Like It";1
"10 Minutes 10 Years";Tennis;"Yours Conditionally";1
"Bad Habits";LYZZA;Powerplay;1
Stage;"John Frusciante";Enclosure;1
"Ratio - Edit";"Floating Points";"Ratio (Radio Edit)";1
Doomed;"Moses Sumney";Aromanticism;1
Sylph;"COUCOU CHLOE, KABLAM";"Erika Jane";1
"I'm Yrs";Medicine;"Mechanical Forces Of Love";1
"Bad Kids to the Front";Deerhoof;"Breakup Song";1
"Out of Line";Gesaffelstein;Aleph;1
Come1;Machinedrum;"Room(s) Extended";1
"FLESH WORLD (UK)";HEALTH;"DEATH MAGIC";1
Heartbeats;"The Knife";"Deep Cuts";1
"Everything She Wants";Wham!;"Make It Big";1
"the gate";Björk;"The Gate";1
She;Cocainejesus;She;1
Unfolding;"Rival Consoles";Unfolding;1
"NICE OUT";"Kilo Kish";"NICE OUT";1
"Fur Lined";"How To Destroy Angels";"How To Destroy Angels";1
Wondering;"Xiu Xiu";FORGET;1
"High Hopes";"pluko, sad alex, Duckwrth";"High Hopes";1
Distrust;"Lunice, Denzel Curry, J.K. The Reaper, Nell";CCCLX;1
Queen;"Perfume Genius";"Too Bright";1
"Glory Box - Live";Portishead;"Roseland NYC Live";1
"Cryo Enemy";"Silk Road Assassins";"Reflection Spaces";1
"NEW COKE";HEALTH;"DEATH MAGIC";1
"Dressed 2 Kill";"J.K. The Reaper, Denzel Curry";"Dressed 2 Kill";1
"Lion - Jamie XX Remix";"Four Tet, Jamie xx";"Pink Remixes";1
"Pyramid - Atoms for Peace Remix";"Four Tet, Atoms For Peace";"Pink Remixes";1
"Cover Girl";"Sweet Valley";"Eternal Champ II";1
Champagne;"Sweet Valley";Jenova;1
"Spell - Edit";"Hot Chip";"A Bath Full of Ecstasy";1
Brats;Liars;WIXIW;1
"We Want Your Soul";"Adam Freeland";"We Want Your Soul";1
Atmosphere;"Kerri Chandler";Atmosphere;1
"Change The Paradigm";Austra;"Change The Paradigm";1
"Beam Me Up (Plexicorp Dub)";"Django Django, Wrongtom";"Django Django meets Wrongtom ""Marble Dubs""";1
"Swim High";RIVKA;Faded;1
Harpe;"Kenton Slash Demon";Harpe/Syko;1
Hypnotized;YANIS;Hypnotized;1
Bananenräuber;Kalabrese;"Bananenräuber EP (incl. Ripperton Remix)";1
"Unstable Condition";"John Tejada";Parabolas;1
Mine;Slayyyter;Mine;1
"Hungry for the Power - Jamie Jones Ridge Street Mix";"AZARI, III";"Sensation Source of Light (Amsterdam Edition)";1
"Pot - Original Mix";"Sidney Charles, Tapesh";"Jack Pot EP";0
Ghostly;"Jesper Ryom";Syvsover;1
"Pills - Population One Remix";"St. Vincent, Population One";"Pills (Population One Remix)";1
"The Answer";Vortex;"The Answer";1
"Serial Killah";"Wollion, Harada";"Ibiza Opening 2016";1
E.V.P.;"Blood Orange";"Freetown Sound";1
"Get Paid";"Vince Staples, Desi Mo";"Summertime '06";1
"The Pop Kids";"Pet Shop Boys";Super;1
"This Is The Door";"!!!, Meah Pace";"This Is The Door";1
"Megga Millionz";"Honnda, Dai Burger";"Maraschino Mic Drop";1
"That's What I Like";"Bruno Mars";"24K Magic";1
"New Romance";Azekel;"Raw, Vol. 1";1
"Friends (feat. Bon Iver)";"Francis and the Lights, Bon Iver";"Farewell, Starlite!";1
Burn;"Madeaux, josh pan, FiFi Rong, Holly";Burn;1
"Pushin’ Against A Stone";"Valerie June";"Pushin' Against A Stone";1
Jabari;Mandingo;"Modern Underground Music, Vol. 4";0
"Crystal Ball";"Slope 114, Monty Luke";"Modern Underground Music, Vol. 4";0
Haribo;"Young Signorino";Haribo;0
"Ghost - Cleric Remix";"The Horrors, Cleric";"Ghost (Cleric Remix)";1
"Let's Have A Kiki";"Scissor Sisters";"Magic Hour (Deluxe)";1
U.A.F.W.M.;"Quay Dash, Sega Bodega";U.A.F.W.M.;1
"Smoke & Retribution (feat. Vince Staples & Kučka)";"Flume, Vince Staples, KUČKA";Skin;1
"Blue Monday - 2016 Remaster";"New Order";"Singles (2016 Remaster)";1
"We Appreciate Power - BloodPop® Remix";"Grimes, BloodPop®, HANA";"We Appreciate Power (BloodPop® Remix)";1
"Get Your Shirt";"Underworld, Iggy Pop";"Get Your Shirt";1
"It's How I Feel - Innershades Remix";"Intimacy, Innershades";"Welcome To My Life";1
"Send It Up";"Kanye West";Yeezus;1
"Mei Mode";Iglooghost;"Mei Mode";1
"Who I Am";"Toro y Moi";"Outer Peace";1
"Fight - Nymphs IV";"Nicolas Jaar";"Fight (Nymphs IV)";1
"Black Walls";Chromatics;"Black Walls";1
"Who I Am (Channel Tres Remix)";"Toro y Moi, Channel Tres";"Who I Am (Channel Tres Remix)";1
"All Night Long - Ciel's Daylight Saving Mix";"HOMESHAKE, Ciel";"All Night Long (Ciel's Daylight Saving Mix)";1
"Can't Do It Like Me";"Azealia Banks";Slay-Z;1
"Bad Baby - Club Mix";"Neggy Gemmy";"Bad Baby";1
"All the Ladies - Catz 'N Dogz Remix";"Fatboy Slim, Eats Everything, Catz 'n Dogz";"All the Ladies";1
"begin again (HEALTH Remix)";"Purity Ring";"begin again (HEALTH Remix)";1
LesAlpx;"Floating Points";LesAlpx;1
"Dead Flowers & Cigarettes";Mija;"Just Enough";1
"Gimme Dat";"Chingy, Ludacris, Bobby V.";"Hate It Or Love It";1
"Yeah - Pretentious Mix";"LCD Soundsystem";"LCD Soundsystem";1
Bound/Severed;HIDE;"Castration Anxiety";1
Ponyboy;SOPHIE;"OIL OF EVERY PEARL'S UN-INSIDES";1
"Cool Bananas";Tell;"Cool Bananas";1
"Bright Nights - Aima Techno Chimp Dub Mix";Koop;"Waltz for Koop - Alternative Takes";1
Bulletproof;Lamb;"The Secret of Letting Go";1
"Now U Got Me Hooked";"Against All Logic";"2012 - 2017";1
"Waltz Darling - Introducting Lourdes & Pretty Fatt";"Malcolm McLaren, The Bootzilla Orchestra";"Waltz Darling";1
"Anticitizen - Original Mix";"Nine Yards";"Beginning LP";0
Slingblade;"DJ Shadow";"Our Pathetic Age";1
"Summoning the Black Tongue";Catharsis;"A Purging of Demons";1
"Wide Awake! (Club Mix)";"Parquet Courts";"Wide Awake! Remixes";1
"Prom Queen";Smokepurpp;"PSYCHO (Legally Insane) EP";1
"Dark Web 001";"Giant Claw";"Dark Web";1
"Yin Yang";Jiin;"Yin Yang";1
Tru;"Laurel Halo, Hodge";"Tru / Opal / The Light Within You";1
Ptolemy;"Aphex Twin";"Selected Ambient Works 85-92";1
"VIVID DREAMS";"KAYTRANADA, River Tiber";99.9%;1
"Fun in the Sun";XEX;Change;0
"Blazin - Modeselektor Remix";"Ghislain Poirier, Face-T";"You Don't Know - Ninja Cuts";1
"This Is Hardcore - Original Version";Pulp;"This Is Hardcore";1
"All I Need";"Shiba San, Tim Baresko";"All I Need";1
"Digital Hardcore";"Midnight Society, Maxine Stayfree";"The Bitch EP";1
"A Million Souls";"Hannes Bieger, Francesca Lombardo";"A Million Souls";1
HOTFOOT;Doldrums;"The Air Conditioned Nightmare";1
"Watchin Closely";"Bill $Aber";"Before Y.O.T.R. Compilation";1
"Brown Sauce";"Marcus Marr";"Brown Sauce";1
Exhumed;"Zola Jesus";Okovi;1
"Standing On The Horizon (feat. Moses Sumney)";"Woodkid, Moses Sumney";"Woodkid For Nicolas Ghesquière - Louis Vuitton Works One";1
"Everybody Dance";CHIC;Chic;1
Indigo;"88rising, NIKI";"Head In The Clouds II";1
bodyache;"Purity Ring";"another eternity";1
"U, Me and Madonna";"1-800 GIRLS";"U, Me and Madonna";1
"Summer Girl - Bonus Track";HAIM;"Summer Girl (Bonus Track)";1
