title;artist;album;isFound
Flamboyant;"Dorian Electra";Flamboyant;1
"Glass & Patron";"FKA twigs";M3LL155X;1
"It's a Sin - 2001 Remaster";"Pet Shop Boys";"Actually: Further Listening 1987-1988";1
Cityfade;"Against All Logic";"2012 - 2017";1
"Sexy Love (Røyksopps Romantiske Sløyd)";"Anneli Drecker, Röyksopp";"Sexy Love";1
"Make It Up";Tirzah;"Make It Up";1
"Keep It Real";Loure;"Westside Movements";0
"Starry Night - Edit";"Peggy Gou";"Starry Night";1
Solita;"Kali Uchis";Solita;1
"Try to Chill";Mangabey;"Try to Chill";1
"For Tahn";"DJ BORING";"For Tahn";1
U;"DJ Seinfeld";"Time Spent Away From U";1
Waiting;"Hidden Spheres";Waiting;1
"Distance - ASG Rework";"Art School Girlfriend";"ASG Reworks";1
"Heads Will Roll - A-Trak Remix";"Yeah Yeah Yeahs, A-Trak";"Heads Will Roll";1
"Madness To Mayhem";Amtrac;"Madness To Mayhem";1
"Just for You";letherette;"Mander House Edits";1
3AM;"Baauer, AJ Tracey, Jae Stephens";3AM;1
"UK Lonely";Or:la;"UK Lonely";1
Commotion;WEN;"Commotion EP";1
Dread;Kahn;Dread;1
Spore;Yak;"Termina - EP";1
Swab;"Amorphous Androgynous";"Tales Of Ephidrina";1
"Please Don't Dance - Original Mix";"Waze & Odyssey";"Please Don't Dance EP";1
"Without Knowing";"Project Pablo";"Low Wings";1
Fever;Bentronix;"The Haze EP";1
"Never Saw It Coming";"Amy Douglas";"Never Saw It Coming";1
Apollo;"Life on Planets";"Apollo / Cold Front";1
Babi;Youryoungbody;Devotion;1
"Death Goes To The Disco";Pulp;"Countdown: 1992-1983";1
"Sweat - SOPHIE Remix";"SONIKKU, LIZ, SOPHIE";"Sweat (SOPHIE Remix)";1
Thick;"Awanto 3, Dexter";Gargamel;1
"Knife Slits Water";"A Certain Ratio";Sextet;1
"Look What Your Love Has Done To Me";"Perc, Gazelle Twin";"Bitter Music";0
"Lust Riders";Filmmaker;"The Love Market";1
"DIRTY LOVE";"SUMIN, Zion.T";"DIRTY LOVE";1
Conveyor;"Moses Sumney";"græ: Part 1";1
"Feel It Out - Nick Godmode Remix";"Yaeji, Nick Godmode";"Remixes, Vol. 1";0
"Megaton Mile - Weval Remix";"Local Natives, Weval";"Violet Street (Remixes Vol. 2)";1
"A Simple Answer (Liars Remix)";"Grizzly Bear, Liars";"Shields: B-Sides";1
"Boss Bitch";"Doja Cat";"Boss Bitch";1
"recovery girl";"recovery girl, galen tipton";"recovery girl (deluxe edition)";0
"Damn - umru Remix";"Y2K, lil aaron, umru";"Damn (umru Remix)";1
Popup;Folie;Popup;0
THAT;"JACKIE EXTREME";"JACKIE EXTREME";1
Nonbinary;Arca;Nonbinary;1
"DE VOUR (i'M BURNiNG)";FiASKO;"DE VOUR (i'M BURNiNG)";1
BENT;"JIMMY EDGAR, Hudson Mohawke";BENT;1
Metropolitan;"Teletronix, Quantic";Metropolitan;1
"Passion - Naked Edit";"Gat Decor";Passion;1
"Gimme Love - Channel Tres Remix";"Joji, Channel Tres";"Gimme Love (Channel Tres Remix)";1
"Into the Surf - Hot Since 82 Remix";"Foals, Hot Since 82";"Into the Surf (Hot Since 82 Remix)";1
"Don't Call - Guy Gerber Rework";"Desire, Guy Gerber";"Don't Call";1
"Rose Quartz";BoomBaptist;"1 Year of Rootnote";1
Rosé;AbJo;Chroma;1
"Wanted More From '84";"Sweatson Klank";"Fine Lines";1
Lolibox;Sewerslvt;"Drowning in the Sewer";1
"E Talking";Soulwax;"E Talking";1
Neverland;"The Knife";"Silent Shout";1
"Kool FM";"Four Tet";"Beautiful Rewind";1
"Caught Lookin' (Lil Ugly Mane Remix)";"Young Guv, Lil Ugly Mane";"Caught Lookin' (Lil Ugly Mane Remix)";1
"Forever - SOPHIE Remix";"FLETCHER, SOPHIE";"Forever (SOPHIE Remix)";1
"Cause Of Death - Tom Nihil Remix";"Hefty, Tom Nihil";"Cause Of Death EP";1
"Live Without Your Love (with Steve Lacy)";"Love Regenerator, Steve Lacy, Calvin Harris";"Live Without Your Love (with Steve Lacy)";1
"Ego Death (feat. Kanye West, FKA twigs & Skrillex)";"Ty Dolla $ign, FKA twigs, Skrillex, Kanye West";"Ego Death (feat. Kanye West, FKA twigs & Skrillex)";1
"pink diamond";"Charli XCX";"how i'm feeling now";1
"DESTINATIONS - Jacques Greene Remix";"Mild Minds, Jacques Greene";"DESTINATIONS (Jacques Greene Remix)";1
"Is It True - Four Tet Remix";"Tame Impala, Four Tet";"Is It True (Four Tet Remix)";1
"Tuli Banyo - Ekhe Rework";"Ecko Bazz, biga yut, Ekhe";"Tuli Banyo";1
"Super Stars";"Yves Tumor";"Heaven To A Tortured Mind";1
"rangerover - Vegyn Remix";"Porches, Vegyn";"rangerover (Vegyn Remix)";1
Basalt;Daedelus;"What Wands Won't Break";1
Creep;"Panther Modern";"Los Angeles 2020";1
"Little Dark Age - Ghost Vision Remix";"MGMT, Ghost Vision";"Little Dark Age (Ghost Vision Remix)";1
"'96 Neve Campbell";"clipping., Cam & China";"'96 Neve Campbell";1
FREAK;Shygirl;FREAK;1
"Bétise - Coby Sey Rework";"Coby Sey";"Bétise (Coby Sey Rework)";1
"Believe in U";Machinedrum;"Spin Blocks";1
"Hey Boy Hey Girl";"The Chemical Brothers";Surrender;1
"SAD - Imanbek xxx Remix";"Rasster, Erin Bloomer, Imanbek";"SAD (Imanbek xxx Remix)";1
"Turn Me On";Dinner;"Psychic Lovers";1
Birds;"Kevin McDowell";VA001;1
"Verticle Shadow";"Black Merlin";"Sformator 2";1
Go;"Anna Wise";"The Feminine: Act I";1
"Oolong Trance - Club Mix";"Alex Kassian";"Oolong Trance";1
"Motherless Child";Romare;Projections;1
DDLG;ppcocaine;DDLG;1
"Why Can't He Be You";"Patsy Cline";"The US Singles Collection 1955-1962";1
"You’re Not The One";"Sky Ferreira";"Night Time, My Time";1
"Stripe Rhythm";"Two Fingers";"Stunt Rhythms";1
"ROUGH 7 (feat. Tommy Genesis)";"JPEGMAFIA, Tommy Genesis";"ROUGH 7 (feat. Tommy Genesis)";1
"Transistor - Video Edit";"Ben Chatwin";"Transistor (Video Edit)";1
"I'll Be Watching You";"Lost Scripts";"Young Turks 2013";1
"I Never Thought";Quasar;"Lovesongs (White Ones)";0
"Talk to Me You'll Understand";"Ross from Friends";"You'll Understand";1
"Beach Jazz";"Tom Jarmey, MarBlu";"Beach Jazz";1
"Show N Tell";"Adam Kane";"Show N Tell";1
"WHAT WE DREW 우리가 그려왔던";Yaeji;"WHAT WE DREW 우리가 그려왔던";1
"Venus Fly";"Grimes, Janelle Monáe";"Art Angels";1
TWELVE;Shygirl;ALIAS;1
"Lost U 2 the Boys";LIZ;"Planet Y2K";1
"Rock Star";"Mattu, Ayesha Erotica";"Rock Star";1
Guyliner;"Dorian Electra";Flamboyant;1
1UL;"Danny L Harle";1UL;1
"The Light - Kero Kero Bonito Remix";"Metronomy, Kero Kero Bonito";"The Light (Kero Kero Bonito Remix)";1
Lissoms;"Toro y Moi";"Causers Of This";1
"HOME - Special Request Remix";"Baauer, Bipolar Sunshine, Special Request";"HOME (Special Request Remix)";1
"Note To Self";"Jim-E Stack, Empress Of";"Note To Self";1
CHANCES;"KAYTRANADA, Shay Lia";"NOTHIN LIKE U / CHANCES";1
"Make U Stay";"Sega Bodega, Låpsley";"Make U Stay";1
"Star 69";"Fatboy Slim";"Halfway Between The Gutter And The Stars";1
"Blind - Radio Edit";"Hercules & Love Affair";Blind;1
"Freak, Go Home";DARKSIDE;Psychic;1
"BIPP - Autechre Mx";"SOPHIE, Autechre";"BIPP (Autechre Mx)";1
Moaner;Underworld;"Beaucoup Fish (Remastered / Super Deluxe)";1
"Girl with Basket of Fruit";"Xiu Xiu";"Girl with Basket of Fruit";1
"Liverpool Street In The Rain";"Mall Grab";"How The Dogs Chill, Vol. 1";1
"Trans Love Vibration (Eris Goes to Church)";"Eris Drew";Devotion;1
"Sex Appeal";"Sexy Sushi";"Marre Marre Marre";1
"Free from Gravity - Busy P Remix";"Django Django, Busy P";"Free from Gravity (Busy P Remix)";1
Dilemme;"Lous and The Yakuza";Gore;1
"Cruel Summer";"Only Fire";"Double Penetration";1
"Divine Intervention";PVA;"Divine Intervention";1
Fire;"Lizzy Mercier Descloux";"Best Off";1
"Sugar Tastes Like Salt - Andrew Weatherall Tastes Like Dub Mix Pt.1 - Live Bass";"The Orielles";"Sugar Tastes Like Salt (Remixes)";1
"Don't Judge Me";"FKA twigs, Headie One, Fred again..";"Don't Judge Me";1
Anasickmodular;"Floating Points";Crush;1
Burning;"Doon Kanda";"Luna EP";1
Spell;"Planet 1999";"Devotion (Deluxe)";1
"Pink Lunettes";Pond;"Pink Lunettes";1
"Rise to Ashes";"Amon Tobin";"Rise to Ashes";1
Tungsten;Devonwho;Tungsten;1
"Don't Fight It, Feel It";"Primal Scream";Screamadelica;1
"The Look - MGMT Remix";"Metronomy, MGMT";"The Look (MGMT Remix)";1
UNISIL;SOPHIE;UNISIL;1
SKATE;BIA;"FOR CERTAIN";1
"Perreando Y Llorando";"Meth Math";"Perreando Y Llorando";1
MIAU;"Virgen Maria, A.K.A., Young Darhi";MIAU;1
"Thank God I'm A Lizard";"Ross from Friends";"Family Portrait";1
"Gettin' It Done";"Ross from Friends";"You'll Understand";1
"Skinny Legs";Elohim;"Skinny Legs";1
omokage.;"snctm., jamesjamesjames";omokage.;1
Thirstin';"Jack J";"Thirstin' b/w Atmosphere";1
"Now U Know Tha Deal 4 Real";Machinedrum;"Room(s) Extended";1
Ur2yung;Machinedrum;"Kane Train / Ur2yung";1
"Venus in Furs";"Pat Robitaille";"Venus in Furs";1
Carbonated;"Mount Kimbie";"Crooks & Lovers";1
"Kora Sings";Sampha;Process;1
"Things We Used to Do";Tyde;Mantra;1
"TASTY - Boys Noize Remix";"Shygirl, Boys Noize";TASTY;1
Madre;"Arca, Oliver Coates";Madre;1
"Julia (Deep Diving)";"Fred again..";"Julia (Deep Diving)";1
"Stirling Bridge - DJ Dairy & DJ Orient (black midi) Remix";"Battles, DJ Dairy, DJ Orient";"Stirling Bridge [DJ Dairy & DJ Orient (black midi) Remix]";1
"Sekt um 12";Modeselektor;Extended;1
Anasickmodular;"Floating Points";Anasickmodular;1
"Too Much";"Joe Turner";"Too Much";1
"Cinétique - Edit";Jinjé;Cinétique;1
Idontknow;"Jamie xx";Idontknow;1
"Sylph Fossil";Iglooghost;"Sylph Fossil";1
Touch;"Yoshinori Hayashi";"Pulse Of Defiance";1
F7;Autechre;SIGN;1
"Promise You'll Haunt Me";Auscultation;"L'étreinte Imaginaire";1
Burner;"Ross from Friends";Burner;1
"Do It Without You";"Jacques Greene";"Do It Without You";1
"Parallel 4";"Four Tet";Parallel;1
"Booth Thrust";"Dorian Concept";"Toothbrush / Booth Thrust";1
"Mothra - Edit";"Leon Vynehall";"Mothra / Ecce! Ego!";1
"Coral Jazz";Ozoyo;"Coral Jazz";1
Heartbreak;"Bonobo, Totally Enormous Extinct Dinosaurs";Heartbreak;1
"Dusting For Smoke";"Daniel Avery";"Dusting For Smoke";1
"Look How Hard I've Tried";Barker;"Debiasing EP";1
"Transactional Relationship";"Gold Panda";"Transactional Relationship";1
"Goddess Calling";"Octo Octa";"She's Calling EP";1
seagull.;walk.;seagull.;1
Sundial;Bicep;Sundial;1
"Thin Air";"Lapalux, JFDR";Amnioverse;1
"6000 Ft.";"Bonobo, Totally Enormous Extinct Dinosaurs";"Heartbreak / 6000 Ft.";1
"Rockledge 3A";Datach'i;Bones;1
XS;"Rina Sawayama";SAWAYAMA;1
"Do Yourself Some Good - Lost Souls of Saturn Fathers Mix";"UNKLE, Lost Souls Of Saturn";"Do Yourself Some Good (Lost Souls of Saturn Remixes)";1
"Complètement fou";Yelle;"Complètement fou";1
"Nobody Knows We Are Fun";CHAI;WINK;1
"Dress Down";"Kaoru Akimoto";"Dress Down EP";0
"Donnie Darko";"Let's Eat Grandma";"I'm All Ears";1
Sports;"Viagra Boys";Sports;1
METAL;"JIMMY EDGAR, SOPHIE";METAL;1
"Another Girl";"Jacques Greene";"Another Girl";1
southside;"53 Thieves";southside;1
Dystopia;Guau;Dystopia;1
"Jazz Club After Hours";"Barry Can't Swim";"Jazz Club After Hours";1
"Get Lost";"Washed Out";"Mister Mellow";1
"What You Need";"KAYTRANADA, Charlotte Day Wilson";BUBBA;1
"Piña Collider";Spaceface;"Piña Collider";1
"SIREN - Basement Jaxx Cruise Mix";"Shygirl, Basement Jaxx";SIREN;1
Pu-Li-Ru-La;"Golden Boy";"Prince of the Cyber Rave";1
"Terrorize My Heart (Disco Dub) [Bonus Track]";79.5;Predictions;1
"The Hooker";Shizuo;"New Kick";0
"I Am Terrified - Alec Empire Remix";"IAMX, Alec Empire";"Dogmatic Infidel Comedown Ok";1
"Natural Selection";Scaefa;"Natural Selection";1
"Broken Mirrors";Coloray;"Future Static";1
"Ntabala (Rolex Riddim)";"Still, Ecko Bazz";"Ntabala (Rolex Riddim)";1
Sans;"Enver, Kir";"Unrivaled Groove Vol. I";1
"Solid Ground";"Hidd3n Hand";"Unrivaled Groove Vol. I";1
Howard;Whenuknow;"Unrivaled Groove Vol. I";1
Clearing;"Dolphin Midwives";"Body Of Water";0
"The Sunrise In Her Eyes";"Route 8";"This Raw Feeling";1
"The Butcher";Radiohead;"Supercollider / The Butcher";1
Tommy;"Tommy Genesis";"Tommy Genesis";1
"Baby Sasuke";"Future, Lil Uzi Vert";"Pluto x Baby Pluto (Deluxe)";1
Postpone;"James Blake";"CMYK EP";1
"Can Sex Me";"Lil Ugly Mane";"Three Sided Tape Volume ONE";1
Stingray;Riohv;"Green Room";1
"Thin Line (feat. Maria Minerva)";"Cherushii, Maria Minerva";"Memory of Water";1
"Pacific Reasons";Body-San;"Pacific Reasons EP";1
"Raining Outside";"Earth Boys";"Mythic Music";1
Closer;"Project Pablo, Patrick Holland";"Beaubien Dream";1
"A Pearl";Pocket;"A Pearl";1
"My Room is White - Flying Lotus Remix";"Mia Doi Todd, Flying Lotus";"La Ninja: Amor and Other Dreams of Manzanita";1
Aubades;rAHHH;Blinking/Aubades;1
"Heaven Scent";"Soulwax, Chloe Sevigny";"Heaven Scent";1
Controller;"Channel Tres";Controller;1
Musique;"Daft Punk";"Musique, Vol. 1";1
50//50;Vantage;50//50;1
"Pink Funeral";"Beach House";"Once Twice Melody";1
